Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.07     0.00        2     0.00     0.00  camlStdlib__format__advance_left_375
  0.00      0.07     0.00        2     0.00     0.00  camlStdlib__format__clear_tag_stack_458
  0.00      0.07     0.00        2     0.00     0.00  camlStdlib__format__format_pp_token_336
  0.00      0.07     0.00        2     0.00     0.00  camlStdlib__format__formatter_of_out_channel_691
  0.00      0.07     0.00        2     0.00     0.00  camlStdlib__format__fun_1671
  0.00      0.07     0.00        2     0.00     0.00  camlStdlib__format__pp_flush_queue_461
  0.00      0.07     0.00        2     0.00     0.00  camlStdlib__format__pp_open_box_gen_406
  0.00      0.07     0.00        2     0.00     0.00  camlStdlib__format__pp_print_flush_531
  0.00      0.07     0.00        2     0.00     0.00  camlStdlib__format__pp_rinit_456
  0.00      0.07     0.00        2     0.00     0.00  camlStdlib__format__scan_push_401
  0.00      0.07     0.00        2     0.00     0.00  camlStdlib__printf__ksprintf_177
  0.00      0.07     0.00        2     0.00     0.00  camlStdlib__queue__take_107
  0.00      0.07     0.00        2     0.00     0.00  camlStdlib__random__full_init_138
  0.00      0.07     0.00        2     0.00     0.00  caml_apply5
  0.00      0.07     0.00        2     0.00     0.00  caml_compact_heap_maybe
  0.00      0.07     0.00        2     0.00     0.00  caml_gc_quick_stat
  0.00      0.07     0.00        2     0.00     0.00  caml_int_compare
  0.00      0.07     0.00        2     0.00     0.00  caml_int_of_string
  0.00      0.07     0.00        2     0.00     0.00  caml_ml_open_descriptor_out
  0.00      0.07     0.00        2     0.00     0.00  caml_stack_usage
  0.00      0.07     0.00        2     0.00     0.00  caml_stat_calloc_noexc
  0.00      0.07     0.00        2     0.00     0.00  caml_sys_random_seed
  0.00      0.07     0.00        2     0.00     0.00  clean_slice
  0.00      0.07     0.00        2     0.00     0.00  init_sweep_phase
  0.00      0.07     0.00        2     0.00     0.00  parse_intnat
  0.00      0.07     0.00        2     0.00     0.00  parse_sign_and_base
